Tanggal,Jam,Tanggal Jam,Total Pasien,Sembuh,Meninggal,Self Isolation,Masih Perawatan,Menunggu Hasil,Tenaga Kesehatan Terinfeksi,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data
2020-03-01 00:00:00,18.0,2020-03-01 18:00:00,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
2020-03-02 00:00:00,18.0,2020-03-02 18:00:00,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
2020-03-03 00:00:00,18.0,2020-03-03 18:00:00,3,0,1,0,2,0.0,0.0,3,2,0,0.0,0.0,0.0
2020-03-04 00:00:00,18.0,2020-03-04 18:00:00,3,0,1,0,2,0.0,0.0,0,2,0,0.0,0.0,0.0
2020-03-05 00:00:00,18.0,2020-03-05 18:00:00,7,0,3,0,4,0.0,0.0,4,4,0,0.0,0.0,0.0
2020-03-06 00:00:00,18.0,2020-03-06 18:00:00,7,0,3,0,4,0.0,0.0,0,4,0,0.0,0.0,0.0
2020-03-07 00:00:00,18.0,2020-03-07 18:00:00,7,0,3,0,4,0.0,0.0,0,4,0,0.0,0.0,0.0
2020-03-08 00:00:00,18.0,2020-03-08 18:00:00,7,0,3,0,4,0.0,0.0,0,4,0,0.0,0.0,0.0
2020-03-09 00:00:00,18.0,2020-03-09 18:00:00,34,0,3,0,31,0.0,0.0,27,31,0,0.0,0.0,0.0
2020-03-10 00:00:00,18.0,2020-03-10 18:00:00,34,0,3,0,31,0.0,0.0,0,31,0,0.0,0.0,0.0
2020-03-11 00:00:00,18.0,2020-03-11 18:00:00,36,0,3,0,33,0.0,0.0,2,33,0,0.0,0.0,0.0
2020-03-12 00:00:00,18.0,2020-03-12 18:00:00,62,0,5,0,57,0.0,0.0,26,57,0,0.0,0.0,0.0
2020-03-13 00:00:00,18.0,2020-03-13 18:00:00,72,0,7,0,65,0.0,0.0,10,65,0,0.0,0.0,0.0
2020-03-14 00:00:00,18.0,2020-03-14 18:00:00,79,0,9,0,70,0.0,0.0,7,70,0,0.0,0.0,0.0
